implementation,batch_size,seq_len,d_model,dtype,causal,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,forward_peak_gib,backward_peak_gib,status,error,run_id,domain
torch,4,128,32,float32,True,0.227707266943374,0.0182886930474148,0.6594285342240861,0.1780512030498699,0.008758544921875,0.0172271728515625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch_compile,4,128,32,float32,True,0.1855162668410533,0.0298487373153781,0.5110046666231938,0.1093574682898038,0.0478515625,0.0482177734375,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,128,32,float32,True,0.0602692671236582,0.0085946440419695,0.4861231330626954,0.0587973484906471,0.0161762237548828,0.0484046936035156,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,128,64,float32,True,0.2815808002196718,0.0573827685177555,0.6663872001809068,0.1193376386618345,0.016998291015625,0.0175933837890625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch_compile,4,128,64,float32,True,0.1643872676747075,0.0247565636763526,0.5894800002958315,0.0845106752951895,0.048095703125,0.048583984375,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,128,64,float32,True,0.0798653997965933,0.0157650460661529,0.6692960661894176,0.1162840616757337,0.0164813995361328,0.0487098693847656,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,128,128,float32,True,0.2448670000982626,0.0312203199209217,0.8716153339870895,0.1349411200924136,0.017608642578125,0.0183258056640625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch_compile,4,128,128,float32,True,0.1911316001496743,0.0411028494363283,0.6379319330638585,0.0935170915214109,0.017333984375,0.01806640625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,128,128,float32,True,0.0549151339024926,0.0024884475933539,0.7075147327365509,0.0598500651831699,0.0170917510986328,0.0180683135986328,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,256,32,float32,True,0.189962866231023,0.0182510451111428,0.7865187998201387,0.1757603334232226,0.0185546875,0.02056884765625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch_compile,4,256,32,float32,True,0.1955963996200201,0.034865924544473,0.6726347994117532,0.1244701105632423,0.0174560546875,0.05078125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,256,32,float32,True,0.1063577998138498,0.0534664757368926,0.6869971335011845,0.1659820427509405,0.0164833068847656,0.0516433715820312,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,256,64,float32,True,0.2582097331469413,0.1024184588862877,0.8152904665621463,0.232623906621798,0.0191650390625,0.02130126953125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch_compile,4,256,64,float32,True,0.2297800672143542,0.1197057706553517,0.6713657334330492,0.1360045791652072,0.01806640625,0.019287109375,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,256,64,float32,True,0.0994447334960568,0.0822965936524031,0.6809176663712909,0.171802105963649,0.0170936584472656,0.0200271606445312,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,256,128,float32,True,0.2630428665725048,0.0544881019793057,0.880468600128855,0.2664073368568805,0.0203857421875,0.02276611328125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
