strategy,world_size,parameters_m,param_gib_per_rank,grad_gib_per_rank,optimizer_state_gib_per_rank,total_gib_per_rank,notes,run_id,domain
DDP,1,125.0,0.4656612873077392,0.4656612873077392,0.9313225746154784,1.862645149230957,"Replicates parameters, gradients, and AdamW first/second moments.",distributed-memory_125m_125m-params_world1-8_3db10bb4_20260514-213248,memory-accounting
ShardedOptimizer,1,125.0,0.4656612873077392,0.4656612873077392,0.9313225746154784,1.862645149230957,Replicates model and gradients; shards optimizer state.,distributed-memory_125m_125m-params_world1-8_3db10bb4_20260514-213248,memory-accounting
FSDP,1,125.0,0.4656612873077392,0.4656612873077392,0.9313225746154784,1.862645149230957,"Shards parameters, gradients, and optimizer state; ignores transient all-gather buffers.",distributed-memory_125m_125m-params_world1-8_3db10bb4_20260514-213248,memory-accounting
DDP,2,125.0,0.4656612873077392,0.4656612873077392,0.9313225746154784,1.862645149230957,"Replicates parameters, gradients, and AdamW first/second moments.",distributed-memory_125m_125m-params_world1-8_3db10bb4_20260514-213248,memory-accounting
ShardedOptimizer,2,125.0,0.4656612873077392,0.4656612873077392,0.4656612873077392,1.3969838619232178,Replicates model and gradients; shards optimizer state.,distributed-memory_125m_125m-params_world1-8_3db10bb4_20260514-213248,memory-accounting
FSDP,2,125.0,0.2328306436538696,0.2328306436538696,0.4656612873077392,0.9313225746154784,"Shards parameters, gradients, and optimizer state; ignores transient all-gather buffers.",distributed-memory_125m_125m-params_world1-8_3db10bb4_20260514-213248,memory-accounting
DDP,4,125.0,0.4656612873077392,0.4656612873077392,0.9313225746154784,1.862645149230957,"Replicates parameters, gradients, and AdamW first/second moments.",distributed-memory_125m_125m-params_world1-8_3db10bb4_20260514-213248,memory-accounting
ShardedOptimizer,4,125.0,0.4656612873077392,0.4656612873077392,0.2328306436538696,1.164153218269348,Replicates model and gradients; shards optimizer state.,distributed-memory_125m_125m-params_world1-8_3db10bb4_20260514-213248,memory-accounting
FSDP,4,125.0,0.1164153218269348,0.1164153218269348,0.2328306436538696,0.4656612873077392,"Shards parameters, gradients, and optimizer state; ignores transient all-gather buffers.",distributed-memory_125m_125m-params_world1-8_3db10bb4_20260514-213248,memory-accounting
DDP,8,125.0,0.4656612873077392,0.4656612873077392,0.9313225746154784,1.862645149230957,"Replicates parameters, gradients, and AdamW first/second moments.",distributed-memory_125m_125m-params_world1-8_3db10bb4_20260514-213248,memory-accounting
