model_size,mode,precision,batch_size,context_length,vocab_size,d_model,d_ff,num_layers,num_heads,num_parameters_m,mean_ms,std_ms,peak_gib,status,error,run_id,domain
medium,forward,fp32,1,512,10000,1024,4096,24,16,423.18336,80.99667650094489,7.495434408738003,3.795699119567871,ok,,transformer-step_medium-stress-ctx512_models-medium_b1_ctx512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220713,transformer-step
medium,forward_backward,fp32,1,512,10000,1024,4096,24,16,423.18336,251.72765999923288,1.2541641853014307,3.8661375045776367,ok,,transformer-step_medium-stress-ctx512_models-medium_b1_ctx512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220713,transformer-step
medium,train_step,fp32,1,512,10000,1024,4096,24,16,423.18336,2587.2740519989748,163.47816917367658,7.907558917999268,ok,,transformer-step_medium-stress-ctx512_models-medium_b1_ctx512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220713,transformer-step
medium,forward,bf16,1,512,10000,1024,4096,24,16,423.18336,105.39738599982228,1.1014913450463315,3.855391502380371,ok,,transformer-step_medium-stress-ctx512_models-medium_b1_ctx512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220713,transformer-step
medium,forward_backward,bf16,1,512,10000,1024,4096,24,16,423.18336,178.86926500068512,9.184578871560928,3.8925046920776367,ok,,transformer-step_medium-stress-ctx512_models-medium_b1_ctx512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220713,transformer-step
medium,train_step,bf16,1,512,10000,1024,4096,24,16,423.18336,1797.2397835001177,10.749794379851917,7.907558917999268,ok,,transformer-step_medium-stress-ctx512_models-medium_b1_ctx512_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220713,transformer-step
small,forward,fp32,1,2048,10000,768,3072,12,12,128.625408,320.9343920007086,23.79726394942908,7.384081840515137,ok,,transformer-step_small-b1-ctx2048_models-small_b1_ctx2048_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220606,transformer-step
small,forward_backward,fp32,1,2048,10000,768,3072,12,12,128.625408,1025.5438824997327,19.832729909186806,7.831750869750977,ok,,transformer-step_small-b1-ctx2048_models-small_b1_ctx2048_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220606,transformer-step
small,train_step,fp32,1,2048,10000,768,3072,12,12,128.625408,3885.211299499133,59.50543295292469,8.7916259765625,ok,,transformer-step_small-b1-ctx2048_models-small_b1_ctx2048_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220606,transformer-step
small,forward,bf16,1,2048,10000,768,3072,12,12,128.625408,167.7037997496882,0.4507181104981784,5.684337615966797,ok,,transformer-step_small-b1-ctx2048_models-small_b1_ctx2048_prec-fp32-bf16_modes-forward-forward_backward-train_step_cuda_3db10bb4_20260514-220606,transformer-step
