implementation,batch_size,seq_len,d_model,dtype,causal,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,forward_peak_gib,backward_peak_gib,status,error
torch,4,512,64,float32,True,0.28179839937365614,0.017116813332065717,0.6513068501590169,0.06089553199779439,0.0186767578125,0.03466796875,ok,
torch_compile,4,512,64,float32,True,0.1869871995950234,0.013045005647619064,0.5491586000061943,0.027335705490367533,0.022216796875,0.026611328125,ok,
flash_triton,4,512,64,float32,True,0.11977994981862139,0.014766790998682226,0.541014150257979,0.09405963210993437,0.01831817626953125,0.0652008056640625,ok,
torch,4,512,128,float32,True,0.27841134997288464,0.027954562861332903,0.6531437005833141,0.11470523002399849,0.029052734375,0.03759765625,ok,
torch_compile,4,512,128,float32,True,0.24663549957040232,0.00914988330871275,0.677315899883979,0.11173454169427055,0.024658203125,0.029541015625,ok,
flash_triton,4,512,128,float32,True,0.1764120499501587,0.008849038998192293,0.7188799003415625,0.16683940219532645,0.02075958251953125,0.0676422119140625,ok,
torch,4,1024,64,float32,True,0.6749087504431373,0.1411177367988707,1.8589714502013521,0.17447543646061148,0.053955078125,0.085205078125,ok,
torch_compile,4,1024,64,float32,True,0.524673099789652,0.019816529839548347,1.2641100993278087,0.024529252733286645,0.036376953125,0.099853515625,ok,
flash_triton,4,1024,64,float32,True,0.21226775006653043,0.019618210346339673,1.496060699901136,0.10420929597351822,0.0207672119140625,0.067657470703125,ok,
torch,4,1024,128,float32,True,0.6433549993744236,0.11307586313308379,1.8054584001220064,0.14195569478973127,0.058837890625,0.091064453125,ok,
torch_compile,4,1024,128,float32,True,0.5386205999457161,0.02468116523404105,1.2862751997090527,0.02064802736487068,0.041259765625,0.058837890625,ok,
flash_triton,4,1024,128,float32,True,0.3684334002173273,0.016164219068287657,1.6754178501287242,0.03037834881822972,0.0256500244140625,0.072540283203125,ok,
torch,4,2048,64,float32,True,3.308406349788129,0.04792739890830135,8.596160449815216,0.0659214597329824,0.158447265625,0.281494140625,ok,
torch_compile,4,2048,64,float32,True,1.5656987503462005,0.08346808001678588,4.335137149610091,0.23230972044153667,0.088134765625,0.152587890625,ok,
flash_triton,4,2048,64,float32,True,0.5252556504274253,0.05677425343347924,4.837845449947054,0.2137868214172641,0.025665283203125,0.21319580078125,ok,
torch,4,2048,128,float32,True,3.583377549693978,0.19067264000662001,9.242145700227411,0.2612773085928796,0.168212890625,0.293212890625,ok,
torch_compile,4,2048,128,float32,True,1.701324700297846,0.0722381359185022,4.802671049765195,0.4096876730562472,0.097900390625,0.164306640625,ok,
flash_triton,4,2048,128,float32,True,1.1197334502867307,0.17023087610319607,5.910214599862229,0.34750089072698076,0.035430908203125,0.22296142578125,ok,
torch,4,4096,64,float32,True,13.458632500078238,0.29680258085463834,34.68458904972067,0.3516295770858672,0.566650390625,1.054931640625,ok,
torch_compile,4,4096,64,float32,True,6.43659910056158,0.22039398982961195,18.026310049390304,0.40347271604051105,0.285400390625,0.539306640625,ok,
flash_triton,4,4096,64,float32,True,1.5585484503390035,0.08347973596567024,18.185586749677896,0.3763214737239714,0.03546142578125,0.7855224609375,ok,
torch,4,4096,128,float32,True,13.798708750255173,0.3369302745057119,36.54943855090096,0.7512276328368035,0.586181640625,1.078369140625,ok,
torch_compile,4,4096,128,float32,True,7.0066978498289245,0.3486515713951989,18.623134249537543,0.41350371163438254,0.304931640625,0.562744140625,ok,
flash_triton,4,4096,128,float32,True,3.892292749515036,0.18440786030700185,21.667857349530095,0.4212248184846678,0.05499267578125,0.8050537109375,ok,
