implementation,batch_size,seq_len,d_model,dtype,causal,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,forward_peak_gib,backward_peak_gib,status,error
torch,2,128,32,float32,False,0.1385944997309707,0.05671400862118444,0.5316604992913199,0.18310637963170692,0.008331298828125,0.01654052734375,ok,
flash_pytorch,2,128,32,float32,False,5.64989787471859,1.0216835197867835,6.739520124938281,1.1294791235277541,0.016092777252197266,0.01622152328491211,ok,
flash_triton,2,128,32,float32,False,0.10560387454461306,0.014179421979353832,0.5043027495048591,0.05914260987868641,0.016022682189941406,0.016389846801757812,ok,
torch,2,128,64,float32,False,0.31810637528906227,0.1349200784925168,0.5353291244318825,0.11256597682969827,0.01641845703125,0.0167236328125,ok,
flash_pytorch,2,128,64,float32,False,3.4612453755471506,0.1094306920400009,5.597131500053365,0.2585565121663537,0.016268253326416016,0.016481399536132812,ok,
flash_triton,2,128,64,float32,False,0.08126962393362192,0.018744669432763372,0.4782213750331721,0.04154419958092652,0.016175270080566406,0.04791450500488281,ok,
torch,2,256,32,float32,False,0.1447168751838035,0.011202183956202014,0.47647562496422324,0.062290585919184877,0.01715087890625,0.0181884765625,ok,
flash_pytorch,2,256,32,float32,False,12.856209249548556,0.27760536058939156,25.914484624081524,10.895119402043711,0.016246318817138672,0.016468048095703125,ok,
flash_triton,2,256,32,float32,False,0.09925887343342765,0.013737903829237638,0.5675643751601456,0.1382233852936466,0.016176223754882812,0.049381256103515625,ok,
torch,2,256,64,float32,False,0.1539684999443125,0.011533759306792398,0.4976453756171395,0.047750860286938805,0.0174560546875,0.0185546875,ok,
flash_pytorch,2,256,64,float32,False,14.711800125041918,5.16241670463354,22.811246750734426,4.092707213220781,0.016574382781982422,0.017002105712890625,ok,
flash_triton,2,256,64,float32,False,0.10006149886976345,0.04440293007497488,0.49954087489822996,0.07247607998209384,0.016481399536132812,0.017948150634765625,ok,
torch,2,512,32,float32,False,0.16583537490078015,0.041084175408311746,0.5109612498017668,0.1019782827981014,0.0203857421875,0.0244140625,ok,
flash_pytorch,2,512,32,float32,False,53.55881762579884,1.1946966723608539,89.26811062519846,8.668917551799266,0.016553401947021484,0.01699066162109375,ok,
flash_triton,2,512,32,float32,False,0.09318625097876065,0.004138547915970376,0.6156944996291713,0.07066335141907235,0.016483306884765625,0.02234649658203125,ok,
torch,2,512,64,float32,False,0.17940212546818657,0.028650145289292824,0.6661262505076593,0.2119810290128926,0.02099609375,0.025146484375,ok,
flash_pytorch,2,512,64,float32,False,52.92838487594054,1.2257991555428103,89.05673725030283,9.80848626402195,0.017186641693115234,0.01804351806640625,ok,
flash_triton,2,512,64,float32,False,0.08756824990996392,0.010065191838243774,0.5466683751365053,0.015749589772591024,0.017093658447265625,0.02295684814453125,ok,
