implementation,batch_size,seq_len,d_model,dtype,causal,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,forward_peak_gib,backward_peak_gib,status,error
torch,1,2048,64,float32,False,0.37960250074320356,0.017473244844953124,1.1975679990428034,0.03077441301756755,0.0416259765625,0.081298828125,ok,
torch_compile,1,2048,64,float32,False,0.35465549990476575,0.010606783239044659,0.847557374072494,0.028232196619006916,0.033935546875,0.050048828125,ok,
flash_triton,1,2048,64,float32,False,0.26361637537775096,0.014394621104020634,0.9875529995042598,0.02340953554108913,0.01831817626953125,0.1120758056640625,ok,
torch,1,4096,64,float32,False,2.0042546248077997,0.07097670094362267,5.726620750010625,0.11497773856866278,0.145751953125,0.271728515625,ok,
torch_compile,1,4096,64,float32,False,1.3868863743482507,0.2191901500626503,3.425638250519114,0.11042417839366937,0.083251953125,0.146728515625,ok,
flash_triton,1,4096,64,float32,False,0.4411327495290607,0.0018228794391016078,3.321688875075779,0.1861636648158313,0.0207672119140625,0.239532470703125,ok,
torch,1,8192,64,float32,False,7.467464375167765,0.23568812109484769,22.009998875546444,0.36324711736475007,0.525634765625,1.027587890625,ok,
torch_compile,1,8192,64,float32,False,5.034671624798648,0.17892307128756144,13.491624375092215,0.2829260378357513,0.275634765625,0.527587890625,ok,
flash_triton,1,8192,64,float32,False,1.6216362487284641,0.1690275104930719,12.79962524995426,0.362552107079956,0.025665283203125,0.77569580078125,ok,
torch,1,16384,64,float32,False,29.256723749767843,0.28728463235751533,88.55496024943932,2.320908519583717,2.035400390625,4.039306640625,ok,
torch_compile,1,16384,64,float32,False,20.01482274954469,0.21121908124709735,53.31674762555849,0.1875908615499217,1.035400390625,2.039306640625,ok,
flash_triton,1,16384,64,float32,False,5.4771093746239785,0.26713169006424775,49.289237249922735,0.5924989779793474,0.03546142578125,3.0355224609375,ok,
