implementation,batch_size,seq_len,d_model,dtype,causal,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,forward_peak_gib,backward_peak_gib,status,error
torch,4,128,32,float32,False,0.10574566622381099,0.02261177383792499,0.4656024662835989,0.03683429517278506,0.00872802734375,0.0172119140625,ok,
torch_compile,4,128,32,float32,False,0.1356022670127762,0.0188840395940013,0.5012401333563806,0.04582455636493368,0.0478515625,0.0482177734375,ok,
flash_triton,4,128,32,float32,False,0.10022026666168433,0.009495956714170051,0.4547094669154224,0.08606857811012882,0.016176223754882812,0.048404693603515625,ok,
torch,4,128,64,float32,False,0.1099675333534833,0.016890735096633584,0.4936251333371426,0.05543890665954026,0.0169677734375,0.017578125,ok,
torch_compile,4,128,64,float32,False,0.14962786735850386,0.014468903445526099,0.5680750000465196,0.1340081124232431,0.048095703125,0.048583984375,ok,
flash_triton,4,128,64,float32,False,0.0672821336290023,0.014060101290397073,0.455425866675796,0.06601213657028565,0.016481399536132812,0.048709869384765625,ok,
torch,4,128,128,float32,False,0.12956953311610656,0.027347993180463007,0.46757853391075815,0.04837115472864721,0.017578125,0.018310546875,ok,
torch_compile,4,128,128,float32,False,0.17595453367296918,0.02575326824668303,0.48920086677147384,0.0351626454238153,0.017333984375,0.01806640625,ok,
flash_triton,4,128,128,float32,False,0.05442600013338961,0.0025738652553367993,0.47363386596164975,0.1219549342636214,0.017091751098632812,0.018068313598632812,ok,
torch,4,256,32,float32,False,0.1360717333833842,0.017520448976938205,0.482396533091863,0.047968739265350946,0.0184326171875,0.0205078125,ok,
torch_compile,4,256,32,float32,False,0.31749746631248854,0.03140337920275476,0.5379888665629551,0.09652575581304221,0.0174560546875,0.0185546875,ok,
flash_triton,4,256,32,float32,False,0.08366640031454153,0.011068914471693066,0.5460150668416949,0.12943234547731192,0.016483306884765625,0.05164337158203125,ok,
torch,4,256,64,float32,False,0.15138419985305518,0.02685960654262341,0.4790682668196193,0.028914869644705774,0.01904296875,0.021240234375,ok,
torch_compile,4,256,64,float32,False,0.19426593329020156,0.025370240474804875,0.5575193337184222,0.07864434884073904,0.01806640625,0.019287109375,ok,
flash_triton,4,256,64,float32,False,0.06047046675424402,0.0012865596448950018,0.4799845997088899,0.027668221375918532,0.017093658447265625,0.02002716064453125,ok,
torch,4,256,128,float32,False,0.14298559981398284,0.024640016660055605,0.44884533344884403,0.043056262116056475,0.020263671875,0.022705078125,ok,
