implementation,batch_size,seq_len,d_model,dtype,causal,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,forward_peak_gib,backward_peak_gib,status,error
torch,4,512,64,float32,False,0.18388654934824444,0.03198735338875387,0.6284208997385576,0.15209478016926212,0.0181884765625,0.034423828125,ok,
torch_compile,4,512,64,float32,False,0.2704850498048472,0.05347051116739338,0.6858674501927453,0.11665478359718512,0.022216796875,0.026611328125,ok,
flash_triton,4,512,64,float32,False,0.10904784921876853,0.015373348063608133,0.7229371500216075,0.028248664254546862,0.01831817626953125,0.0652008056640625,ok,
torch,4,512,128,float32,False,0.16201859998545842,0.019200765860840234,0.5045857000368414,0.13944412611350643,0.028564453125,0.037353515625,ok,
torch_compile,4,512,128,float32,False,0.3052969001146266,0.04440357135255208,0.6667968005785951,0.10100600980809943,0.024658203125,0.029541015625,ok,
flash_triton,4,512,128,float32,False,0.1559213997097686,0.01566574507293892,0.7881802506744862,0.20403204577455233,0.02075958251953125,0.0676422119140625,ok,
torch,4,1024,64,float32,False,0.5473456998515758,0.12958183593067435,1.7417346001820988,0.15155402114314304,0.052001953125,0.084228515625,ok,
torch_compile,4,1024,64,float32,False,0.45452234971889993,0.02560864245839387,1.1412997000661562,0.018490768045029294,0.036376953125,0.052978515625,ok,
flash_triton,4,1024,64,float32,False,0.18359360037720762,0.008642852758330882,1.340887449987349,0.12830802435370967,0.0207672119140625,0.067657470703125,ok,
torch,4,1024,128,float32,False,0.5197781003516866,0.11422325253471662,1.5511315999901854,0.1163246892818153,0.056884765625,0.090087890625,ok,
torch_compile,4,1024,128,float32,False,0.49974889971053926,0.03090160704002057,1.2506027502240613,0.0052153057649750945,0.041259765625,0.058837890625,ok,
flash_triton,4,1024,128,float32,False,0.3494865495667909,0.005170782565200583,1.5252691502610105,0.1204497953650392,0.0256500244140625,0.072540283203125,ok,
torch,4,2048,64,float32,False,2.0818365503146197,0.11400116194171193,6.227548449896858,0.2740031654730891,0.150634765625,0.277587890625,ok,
torch_compile,4,2048,64,float32,False,1.5156915005718474,0.12890296767593326,4.290773950560833,0.21457486474325205,0.088134765625,0.152587890625,ok,
flash_triton,4,2048,64,float32,False,0.459128650072671,0.0052394699702010255,4.092778449739853,0.1646441339817734,0.025665283203125,0.21319580078125,ok,
torch,4,2048,128,float32,False,2.2695876999932807,0.143868958057695,6.543099349983095,0.09990273367709195,0.160400390625,0.289306640625,ok,
torch_compile,4,2048,128,float32,False,1.737135200346529,0.12185681268089282,4.711956950268359,0.29472662443492775,0.097900390625,0.164306640625,ok,
flash_triton,4,2048,128,float32,False,1.1294316000203253,0.17183988321057228,5.160861050535459,0.25421689359415117,0.035430908203125,0.22296142578125,ok,
torch,4,4096,64,float32,False,8.164182599648484,0.2431729789178985,25.11477250009193,1.8389210964754654,0.535400390625,1.039306640625,ok,
torch_compile,4,4096,64,float32,False,6.361015349830268,0.08432927963571055,18.43487880014436,0.5070171353013236,0.285400390625,0.539306640625,ok,
flash_triton,4,4096,64,float32,False,1.5093001997229294,0.1489200087690616,16.44085144980636,0.5670252817331894,0.03546142578125,0.7855224609375,ok,
torch,4,4096,128,float32,False,9.776202450302662,0.6553231918096707,27.064138000241655,2.2313578935305194,0.554931640625,1.062744140625,ok,
torch_compile,4,4096,128,float32,False,7.019062149447564,0.1568286209894168,19.53516924932046,0.5377657096798697,0.304931640625,0.562744140625,ok,
flash_triton,4,4096,128,float32,False,4.0213838501586,0.2543003916898991,21.736268650238344,2.260618987926203,0.05499267578125,0.8050537109375,ok,
