model_size,mode,precision,batch_size,context_length,vocab_size,d_model,d_ff,num_layers,num_heads,num_parameters_m,mean_ms,std_ms,peak_gib,status,error
small,forward,fp32,2,512,10000,768,3072,12,12,128.625408,58.58688474927476,4.006493848444961,2.1973876953125,ok,
small,forward_backward,fp32,2,512,10000,768,3072,12,12,128.625408,179.35080450024543,2.3861230764334986,2.2449951171875,ok,
small,train_step,fp32,2,512,10000,768,3072,12,12,128.625408,217.46934300063003,7.760069285670429,3.219137191772461,ok,
small,forward,bf16,2,512,10000,768,3072,12,12,128.625408,31.472036500417744,0.9654830956064898,1.9479293823242188,ok,
small,forward_backward,bf16,2,512,10000,768,3072,12,12,128.625408,105.99708525114693,3.6330288767980883,1.9679183959960938,ok,
small,train_step,bf16,2,512,10000,768,3072,12,12,128.625408,148.39437050068227,6.510524043441626,2.9480419158935547,ok,
small,forward,fp32,2,1024,10000,768,3072,12,12,128.625408,140.47102424956392,0.5544204244241641,5.066577911376953,ok,
small,forward_backward,fp32,2,1024,10000,768,3072,12,12,128.625408,480.34263149929757,13.767809095576538,5.194543838500977,ok,
small,train_step,fp32,2,1024,10000,768,3072,12,12,128.625408,517.6971864993902,5.811110203397729,6.156982421875,ok,
small,forward,bf16,2,1024,10000,768,3072,12,12,128.625408,102.03029275089648,0.3354256793365536,3.971324920654297,ok,
small,forward_backward,bf16,2,1024,10000,768,3072,12,12,128.625408,310.6659334998767,0.5885499801752264,4.143152236938477,ok,
small,train_step,bf16,2,1024,10000,768,3072,12,12,128.625408,366.97939099849464,4.024753457607022,5.1155853271484375,ok,
